"penalty","mixture",".metric",".estimator","mean","n","std_err",".config"
0.000895927565516051,0.738420125194825,"rmse","standard",3.45642179121334,5,0.01209754125869,"Preprocessor1_Model4"
2.27383142550379e-05,0.833465068831574,"rmse","standard",3.45642270073684,5,0.0120965532479692,"Preprocessor1_Model5"
1.40817629292133e-07,0.559962207712233,"rmse","standard",3.4564237331942,5,0.012096236068357,"Preprocessor1_Model3"
5.80958311905771e-10,0.239540832904167,"rmse","standard",3.45642573727113,5,0.0120989298943319,"Preprocessor1_Model1"
0.474743974119265,0.306993043110706,"rmse","standard",3.49140694458184,5,0.0124851385296102,"Preprocessor1_Model2"
